span_id,from_tower,to_tower,lat,lng,asset_name
106,,,-7.901092,114.34478,SPAN SUTT 150kV STBDO-BWNGI #0160
107,,,-7.900083,114.34267,SPAN SUTT 150kV STBDO-BWNGI #0159
108,,,-7.899,114.3403,SPAN SUTT 150kV STBDO-BWNGI #0158
109,,,-7.897867,114.33777,SPAN SUTT 150kV STBDO-BWNGI #0157
110,,,-7.896117,114.335785,SPAN SUTT 150kV STBDO-BWNGI #0156
111,,,-7.893842,114.334236,SPAN SUTT 150kV STBDO-BWNGI #0155
112,,,-7.891567,114.332664,SPAN SUTT 150kV STBDO-BWNGI #0154
113,,,-7.889233,114.331116,SPAN SUTT 150kV STBDO-BWNGI #0153
114,,,-7.886958,114.32956,SPAN SUTT 150kV STBDO-BWNGI #0152
115,,,-7.884633,114.32797,SPAN SUTT 150kV STBDO-BWNGI #0151
116,,,-7.882475,114.32652,SPAN SUTT 150kV STBDO-BWNGI #0150
117,,,-7.880158,114.324974,SPAN SUTT 150kV STBDO-BWNGI #0149
118,,,-7.877715,114.32338,SPAN SUTT 150kV STBDO-BWNGI #0148
119,,,-7.875199,114.322556,SPAN SUTT 150kV STBDO-BWNGI #0147
120,,,-7.872342,114.32234,SPAN SUTT 150kV STBDO-BWNGI #0146
121,,,-7.869536,114.322105,SPAN SUTT 150kV STBDO-BWNGI #0145
122,,,-7.866753,114.32191,SPAN SUTT 150kV STBDO-BWNGI #0144
123,,,-7.863942,114.32173,SPAN SUTT 150kV STBDO-BWNGI #0143
124,,,-7.861236,114.32149,SPAN SUTT 150kV STBDO-BWNGI #0142
125,,,-7.858527,114.32128,SPAN SUTT 150kV STBDO-BWNGI #0141
126,,,-7.855808,114.32109,SPAN SUTT 150kV STBDO-BWNGI #0140
127,,,-7.853158,114.320854,SPAN SUTT 150kV STBDO-BWNGI #0139
128,,,-7.850742,114.32064,SPAN SUTT 150kV STBDO-BWNGI #0138
129,,,-7.848242,114.32046,SPAN SUTT 150kV STBDO-BWNGI #0137
130,,,-7.845433,114.320244,SPAN SUTT 150kV STBDO-BWNGI #0136
131,,,-7.842633,114.32002,SPAN SUTT 150kV STBDO-BWNGI #0135
132,,,-7.839858,114.31981,SPAN SUTT 150kV STBDO-BWNGI #0134
133,,,-7.837017,114.31961,SPAN SUTT 150kV STBDO-BWNGI #0133
134,,,-7.834283,114.319405,SPAN SUTT 150kV STBDO-BWNGI #0132
135,,,-7.831733,114.31919,SPAN SUTT 150kV STBDO-BWNGI #0131
136,,,-7.829142,114.31901,SPAN SUTT 150kV STBDO-BWNGI #0130
137,,,-7.826317,114.31882,SPAN SUTT 150kV STBDO-BWNGI #0129
138,,,-7.8234,114.31863,SPAN SUTT 150kV STBDO-BWNGI #0128
139,,,-7.820783,114.31842,SPAN SUTT 150kV STBDO-BWNGI #0127
140,,,-7.818133,114.3182,SPAN SUTT 150kV STBDO-BWNGI #0126
141,,,-7.815467,114.31801,SPAN SUTT 150kV STBDO-BWNGI #0125
142,,,-7.812805,114.31776,SPAN SUTT 150kV STBDO-BWNGI #0124
143,,,-7.809975,114.317505,SPAN SUTT 150kV STBDO-BWNGI #0123
144,,,-7.807112,114.31735,SPAN SUTT 150kV STBDO-BWNGI #0122
145,,,-7.804264,114.31712,SPAN SUTT 150kV STBDO-BWNGI #0121
146,,,-7.801471,114.31685,SPAN SUTT 150kV STBDO-BWNGI #0120
147,,,-7.798699,114.31667,SPAN SUTT 150kV STBDO-BWNGI #0119
148,,,-7.795829,114.31647,SPAN SUTT 150kV STBDO-BWNGI #0118
149,,,-7.792943,114.31622,SPAN SUTT 150kV STBDO-BWNGI #0117
150,,,-7.790136,114.316025,SPAN SUTT 150kV STBDO-BWNGI #0116
151,,,-7.787398,114.31582,SPAN SUTT 150kV STBDO-BWNGI #0115
152,,,-7.784626,114.31559,SPAN SUTT 150kV STBDO-BWNGI #0114
153,,,-7.781441,114.31536,SPAN SUTT 150kV STBDO-BWNGI #0113
154,,,-7.77865,114.315186,SPAN SUTT 150kV STBDO-BWNGI #0112
155,,,-7.776491,114.3142,SPAN SUTT 150kV STBDO-BWNGI #0111
156,,,-7.774245,114.31237,SPAN SUTT 150kV STBDO-BWNGI #0110
157,,,-7.772753,114.309875,SPAN SUTT 150kV STBDO-BWNGI #0109
158,,,-7.772106,114.30711,SPAN SUTT 150kV STBDO-BWNGI #0108
159,,,-7.771492,114.30439,SPAN SUTT 150kV STBDO-BWNGI #0107
160,,,-7.771402,114.30149,SPAN SUTT 150kV STBDO-BWNGI #0106
161,,,-7.771883,114.29874,SPAN SUTT 150kV STBDO-BWNGI #0105
162,,,-7.772351,114.29593,SPAN SUTT 150kV STBDO-BWNGI #0104
163,,,-7.772804,114.29319,SPAN SUTT 150kV STBDO-BWNGI #0103
164,,,-7.773276,114.29033,SPAN SUTT 150kV STBDO-BWNGI #0102
165,,,-7.773712,114.287544,SPAN SUTT 150kV STBDO-BWNGI #0101
166,,,-7.774147,114.28488,SPAN SUTT 150kV STBDO-BWNGI #0100
167,,,-7.774628,114.282074,SPAN SUTT 150kV STBDO-BWNGI #0099
168,,,-7.775102,114.279274,SPAN SUTT 150kV STBDO-BWNGI #0098
169,,,-7.775575,114.276474,SPAN SUTT 150kV STBDO-BWNGI #0097
170,,,-7.775997,114.273674,SPAN SUTT 150kV STBDO-BWNGI #0096
171,,,-7.776048,114.27084,SPAN SUTT 150kV STBDO-BWNGI #0095
172,,,-7.775777,114.26794,SPAN SUTT 150kV STBDO-BWNGI #0094
173,,,-7.775478,114.26497,SPAN SUTT 150kV STBDO-BWNGI #0093
174,,,-7.775176,114.26205,SPAN SUTT 150kV STBDO-BWNGI #0092
175,,,-7.774875,114.259,SPAN SUTT 150kV STBDO-BWNGI #0091
176,,,-7.774583,114.25602,SPAN SUTT 150kV STBDO-BWNGI #0090
177,,,-7.7743,114.253174,SPAN SUTT 150kV STBDO-BWNGI #0089
178,,,-7.774017,114.250175,SPAN SUTT 150kV STBDO-BWNGI #0088
179,,,-7.773749,114.247154,SPAN SUTT 150kV STBDO-BWNGI #0087
180,,,-7.773484,114.24417,SPAN SUTT 150kV STBDO-BWNGI #0086
181,,,-7.773219,114.24124,SPAN SUTT 150kV STBDO-BWNGI #0085
182,,,-7.772975,114.238235,SPAN SUTT 150kV STBDO-BWNGI #0084
183,,,-7.772713,114.23524,SPAN SUTT 150kV STBDO-BWNGI #0083
184,,,-7.771747,114.23241,SPAN SUTT 150kV STBDO-BWNGI #0082
185,,,-7.770167,114.22977,SPAN SUTT 150kV STBDO-BWNGI #0081
186,,,-7.768633,114.22718,SPAN SUTT 150kV STBDO-BWNGI #0080
187,,,-7.76708,114.22454,SPAN SUTT 150kV STBDO-BWNGI #0079
188,,,-7.765482,114.22187,SPAN SUTT 150kV STBDO-BWNGI #0078
189,,,-7.76436,114.21924,SPAN SUTT 150kV STBDO-BWNGI #0077
190,,,-7.763683,114.21649,SPAN SUTT 150kV STBDO-BWNGI #0076
191,,,-7.762958,114.21367,SPAN SUTT 150kV STBDO-BWNGI #0075
192,,,-7.762233,114.21083,SPAN SUTT 150kV STBDO-BWNGI #0074
193,,,-7.7615,114.207924,SPAN SUTT 150kV STBDO-BWNGI #0073
194,,,-7.7608,114.2051,SPAN SUTT 150kV STBDO-BWNGI #0072
195,,,-7.760175,114.2026,SPAN SUTT 150kV STBDO-BWNGI #0071
196,,,-7.759492,114.2,SPAN SUTT 150kV STBDO-BWNGI #0070
197,,,-7.758758,114.197105,SPAN SUTT 150kV STBDO-BWNGI #0069
198,,,-7.758042,114.19425,SPAN SUTT 150kV STBDO-BWNGI #0068
199,,,-7.757317,114.19135,SPAN SUTT 150kV STBDO-BWNGI #0067
200,,,-7.756667,114.18879,SPAN SUTT 150kV STBDO-BWNGI #0066
201,,,-7.755967,114.18623,SPAN SUTT 150kV STBDO-BWNGI #0065
202,,,-7.755242,114.18328,SPAN SUTT 150kV STBDO-BWNGI #0064
203,,,-7.754533,114.18028,SPAN SUTT 150kV STBDO-BWNGI #0063
204,,,-7.753808,114.17739,SPAN SUTT 150kV STBDO-BWNGI #0062
205,,,-7.7531,114.174576,SPAN SUTT 150kV STBDO-BWNGI #0061
206,,,-7.752383,114.17172,SPAN SUTT 150kV STBDO-BWNGI #0060
207,,,-7.751692,114.169,SPAN SUTT 150kV STBDO-BWNGI #0059
208,,,-7.751058,114.16646,SPAN SUTT 150kV STBDO-BWNGI #0058
209,,,-7.750442,114.16399,SPAN SUTT 150kV STBDO-BWNGI #0057
210,,,-7.749783,114.16131,SPAN SUTT 150kV STBDO-BWNGI #0056
211,,,-7.749042,114.15834,SPAN SUTT 150kV STBDO-BWNGI #0055
212,,,-7.747983,114.155594,SPAN SUTT 150kV STBDO-BWNGI #0054
213,,,-7.74665,114.15316,SPAN SUTT 150kV STBDO-BWNGI #0053
214,,,-7.745308,114.150696,SPAN SUTT 150kV STBDO-BWNGI #0052
215,,,-7.743958,114.148186,SPAN SUTT 150kV STBDO-BWNGI #0051
216,,,-7.742608,114.145676,SPAN SUTT 150kV STBDO-BWNGI #0050
217,,,-7.741258,114.143135,SPAN SUTT 150kV STBDO-BWNGI #0049
218,,,-7.739883,114.14057,SPAN SUTT 150kV STBDO-BWNGI #0048
219,,,-7.738542,114.13809,SPAN SUTT 150kV STBDO-BWNGI #0047
220,,,-7.7372,114.13559,SPAN SUTT 150kV STBDO-BWNGI #0046
221,,,-7.735792,114.13296,SPAN SUTT 150kV STBDO-BWNGI #0045
222,,,-7.734325,114.130226,SPAN SUTT 150kV STBDO-BWNGI #0044
223,,,-7.732858,114.12751,SPAN SUTT 150kV STBDO-BWNGI #0043
224,,,-7.731442,114.12483,SPAN SUTT 150kV STBDO-BWNGI #0042
225,,,-7.73,114.122116,SPAN SUTT 150kV STBDO-BWNGI #0041
226,,,-7.728525,114.119385,SPAN SUTT 150kV STBDO-BWNGI #0040
227,,,-7.72705,114.11663,SPAN SUTT 150kV STBDO-BWNGI #0039
228,,,-7.725667,114.11401,SPAN SUTT 150kV STBDO-BWNGI #0038
229,,,-7.724417,114.111664,SPAN SUTT 150kV STBDO-BWNGI #0037
230,,,-7.7232,114.10944,SPAN SUTT 150kV STBDO-BWNGI #0036
231,,,-7.7226,114.107285,SPAN SUTT 150kV STBDO-BWNGI #0035
232,,,-7.722592,114.1048,SPAN SUTT 150kV STBDO-BWNGI #0034
233,,,-7.722583,114.102036,SPAN SUTT 150kV STBDO-BWNGI #0033
234,,,-7.722583,114.09948,SPAN SUTT 150kV STBDO-BWNGI #0032
235,,,-7.722575,114.09725,SPAN SUTT 150kV STBDO-BWNGI #0031
236,,,-7.722558,114.09473,SPAN SUTT 150kV STBDO-BWNGI #0030
237,,,-7.722542,114.091644,SPAN SUTT 150kV STBDO-BWNGI #0029
238,,,-7.722525,114.08865,SPAN SUTT 150kV STBDO-BWNGI #0028
239,,,-7.722508,114.08591,SPAN SUTT 150kV STBDO-BWNGI #0027
240,,,-7.722492,114.08326,SPAN SUTT 150kV STBDO-BWNGI #0026
241,,,-7.722458,114.08046,SPAN SUTT 150kV STBDO-BWNGI #0025
242,,,-7.722452,114.07792,SPAN SUTT 150kV STBDO-BWNGI #0024
