tower_id,lat,lng,asset_name
126,-7.81955,114.3183,TOWER SUTT 150kV STBDO-BWNGI #0126
127,-7.822017,114.318535,TOWER SUTT 150kV STBDO-BWNGI #0127
128,-7.824783,114.31872,TOWER SUTT 150kV STBDO-BWNGI #0128
129,-7.82785,114.31892,TOWER SUTT 150kV STBDO-BWNGI #0129
130,-7.830433,114.3191,TOWER SUTT 150kV STBDO-BWNGI #0130
131,-7.833033,114.31928,TOWER SUTT 150kV STBDO-BWNGI #0131
132,-7.835533,114.319534,TOWER SUTT 150kV STBDO-BWNGI #0132
133,-7.8385,114.31968,TOWER SUTT 150kV STBDO-BWNGI #0133
134,-7.841217,114.31993,TOWER SUTT 150kV STBDO-BWNGI #0134
135,-7.84405,114.320114,TOWER SUTT 150kV STBDO-BWNGI #0135
136,-7.846817,114.320366,TOWER SUTT 150kV STBDO-BWNGI #0136
137,-7.849667,114.32055,TOWER SUTT 150kV STBDO-BWNGI #0137
138,-7.851817,114.32073,TOWER SUTT 150kV STBDO-BWNGI #0138
139,-7.8545,114.320984,TOWER SUTT 150kV STBDO-BWNGI #0139
140,-7.857117,114.3212,TOWER SUTT 150kV STBDO-BWNGI #0140
141,-7.859938,114.32136,TOWER SUTT 150kV STBDO-BWNGI #0141
142,-7.862533,114.32162,TOWER SUTT 150kV STBDO-BWNGI #0142
143,-7.86535,114.32185,TOWER SUTT 150kV STBDO-BWNGI #0143
144,-7.868156,114.32197,TOWER SUTT 150kV STBDO-BWNGI #0144
145,-7.870917,114.32225,TOWER SUTT 150kV STBDO-BWNGI #0145
146,-7.873767,114.32243,TOWER SUTT 150kV STBDO-BWNGI #0146
147,-7.87663,114.32267,TOWER SUTT 150kV STBDO-BWNGI #0147
148,-7.8788,114.32408,TOWER SUTT 150kV STBDO-BWNGI #0148
149,-7.881517,114.32587,TOWER SUTT 150kV STBDO-BWNGI #0149
150,-7.883433,114.32719,TOWER SUTT 150kV STBDO-BWNGI #0150
151,-7.885833,114.328766,TOWER SUTT 150kV STBDO-BWNGI #0151
152,-7.888083,114.33035,TOWER SUTT 150kV STBDO-BWNGI #0152
153,-7.890383,114.33189,TOWER SUTT 150kV STBDO-BWNGI #0153
154,-7.89275,114.33345,TOWER SUTT 150kV STBDO-BWNGI #0154
155,-7.894933,114.335014,TOWER SUTT 150kV STBDO-BWNGI #0155
156,-7.8973,114.33655,TOWER SUTT 150kV STBDO-BWNGI #0156
157,-7.898433,114.33898,TOWER SUTT 150kV STBDO-BWNGI #0157
158,-7.899567,114.34161,TOWER SUTT 150kV STBDO-BWNGI #0158
159,-7.9006,114.34372,TOWER SUTT 150kV STBDO-BWNGI #0159
160,-7.901583,114.34585,TOWER SUTT 150kV STBDO-BWNGI #0160
161,-7.902683,114.34838,TOWER SUTT 150kV STBDO-BWNGI #0161
162,-7.9038,114.35097,TOWER SUTT 150kV STBDO-BWNGI #0162
163,-7.905083,114.35378,TOWER SUTT 150kV STBDO-BWNGI #0163
164,-7.906167,114.3563,TOWER SUTT 150kV STBDO-BWNGI #0164
165,-7.907267,114.358734,TOWER SUTT 150kV STBDO-BWNGI #0165
166,-7.908317,114.36132,TOWER SUTT 150kV STBDO-BWNGI #0166
167,-7.9095,114.36377,TOWER SUTT 150kV STBDO-BWNGI #0167
168,-7.910667,114.3665,TOWER SUTT 150kV STBDO-BWNGI #0168
169,-7.9118,114.36902,TOWER SUTT 150kV STBDO-BWNGI #0169
170,-7.913033,114.371666,TOWER SUTT 150kV STBDO-BWNGI #0170
171,-7.914267,114.3744,TOWER SUTT 150kV STBDO-BWNGI #0171
172,-7.915117,114.3765,TOWER SUTT 150kV STBDO-BWNGI #0172
173,-7.916933,114.37728,TOWER SUTT 150kV STBDO-BWNGI #0173
174,-7.918167,114.37787,TOWER SUTT 150kV STBDO-BWNGI #0174
175,-7.921233,114.37922,TOWER SUTT 150kV STBDO-BWNGI #0175
176,-7.923833,114.38032,TOWER SUTT 150kV STBDO-BWNGI #0176
177,-7.926267,114.38147,TOWER SUTT 150kV STBDO-BWNGI #0177
178,-7.929733,114.38227,TOWER SUTT 150kV STBDO-BWNGI #0178
179,-7.931967,114.38277,TOWER SUTT 150kV STBDO-BWNGI #0179
180,-7.9343,114.383316,TOWER SUTT 150kV STBDO-BWNGI #0180
181,-7.936933,114.383934,TOWER SUTT 150kV STBDO-BWNGI #0181
182,-7.939633,114.38457,TOWER SUTT 150kV STBDO-BWNGI #0182
183,-7.942333,114.38517,TOWER SUTT 150kV STBDO-BWNGI #0183
184,-7.944817,114.38575,TOWER SUTT 150kV STBDO-BWNGI #0184
185,-7.947983,114.3865,TOWER SUTT 150kV STBDO-BWNGI #0185
186,-7.9509,114.38717,TOWER SUTT 150kV STBDO-BWNGI #0186
187,-7.953767,114.38782,TOWER SUTT 150kV STBDO-BWNGI #0187
188,-7.956583,114.388466,TOWER SUTT 150kV STBDO-BWNGI #0188
189,-7.95945,114.38917,TOWER SUTT 150kV STBDO-BWNGI #0189
190,-7.962567,114.38983,TOWER SUTT 150kV STBDO-BWNGI #0190
191,-7.96565,114.39058,TOWER SUTT 150kV STBDO-BWNGI #0191
192,-7.968533,114.39125,TOWER SUTT 150kV STBDO-BWNGI #0192
193,-7.97145,114.391914,TOWER SUTT 150kV STBDO-BWNGI #0193
194,-7.97405,114.39252,TOWER SUTT 150kV STBDO-BWNGI #0194
195,-7.976283,114.39305,TOWER SUTT 150kV STBDO-BWNGI #0195
196,-7.978817,114.39365,TOWER SUTT 150kV STBDO-BWNGI #0196
197,-7.981317,114.3942,TOWER SUTT 150kV STBDO-BWNGI #0197
198,-7.983683,114.39477,TOWER SUTT 150kV STBDO-BWNGI #0198
199,-7.98615,114.39535,TOWER SUTT 150kV STBDO-BWNGI #0199
200,-7.988567,114.3959,TOWER SUTT 150kV STBDO-BWNGI #0200
201,-7.9912,114.3965,TOWER SUTT 150kV STBDO-BWNGI #0201
202,-7.994233,114.3972,TOWER SUTT 150kV STBDO-BWNGI #0202
203,-7.996583,114.39775,TOWER SUTT 150kV STBDO-BWNGI #0203
204,-7.9989,114.39827,TOWER SUTT 150kV STBDO-BWNGI #0204
205,-8.001117,114.3993,TOWER SUTT 150kV STBDO-BWNGI #0205
206,-8.003917,114.40058,TOWER SUTT 150kV STBDO-BWNGI #0206
207,-8.006683,114.401886,TOWER SUTT 150kV STBDO-BWNGI #0207
208,-8.009033,114.403,TOWER SUTT 150kV STBDO-BWNGI #0208
209,-8.011133,114.40393,TOWER SUTT 150kV STBDO-BWNGI #0209
210,-8.013483,114.40503,TOWER SUTT 150kV STBDO-BWNGI #0210
211,-8.015817,114.40607,TOWER SUTT 150kV STBDO-BWNGI #0211
212,-8.0187,114.407265,TOWER SUTT 150kV STBDO-BWNGI #0212
213,-8.0217,114.40863,TOWER SUTT 150kV STBDO-BWNGI #0213
214,-8.024267,114.40985,TOWER SUTT 150kV STBDO-BWNGI #0214
215,-8.026833,114.41103,TOWER SUTT 150kV STBDO-BWNGI #0215
216,-8.02965,114.412315,TOWER SUTT 150kV STBDO-BWNGI #0216
217,-8.032483,114.41365,TOWER SUTT 150kV STBDO-BWNGI #0217
218,-8.035633,114.4151,TOWER SUTT 150kV STBDO-BWNGI #0218
219,-8.038117,114.41505,TOWER SUTT 150kV STBDO-BWNGI #0219
220,-8.041367,114.41503,TOWER SUTT 150kV STBDO-BWNGI #0220
221,-8.043567,114.415016,TOWER SUTT 150kV STBDO-BWNGI #0221
222,-8.045533,114.41497,TOWER SUTT 150kV STBDO-BWNGI #0222
223,-8.048783,114.41492,TOWER SUTT 150kV STBDO-BWNGI #0223
224,-8.051267,114.41492,TOWER SUTT 150kV STBDO-BWNGI #0224
225,-8.053733,114.4149,TOWER SUTT 150kV STBDO-BWNGI #0225
226,-8.056567,114.41483,TOWER SUTT 150kV STBDO-BWNGI #0226
227,-8.059333,114.41482,TOWER SUTT 150kV STBDO-BWNGI #0227
228,-8.062483,114.41475,TOWER SUTT 150kV STBDO-BWNGI #0228
