tower_id,gfd_ElNino,gfd_LaNina,gfd_Neutral,dGFD_dENSO,units,lat,lng,elev_m
108,4.48,4.48,4.48,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.772399,114.308304,16.0
109,3.84,4.48,4.8,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.773107,114.31145,16.0
110,5.12,5.44,5.44,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.775382,114.313286,18.0
111,5.76,6.08,6.08,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.777599,114.31512,22.0
112,5.76,6.4,6.08,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.779701,114.31525,32.0
113,5.44,6.08,6.08,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.783182,114.315475,39.0
114,6.08,6.4,6.4,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.786071,114.315704,56.0
115,6.72,7.04,7.04,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.788726,114.315926,68.0
116,6.72,7.36,7.36,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.791546,114.31612,79.0
117,5.76,6.72,6.72,-0.48,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.794341,114.31633,96.0
118,6.08,7.36,6.4,-0.6400000000000001,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.797317,114.3166,104.0
119,7.04,7.36,7.52,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.800081,114.31674,121.0
120,7.04,7.04,7.04,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.802861,114.316956,130.0
121,7.04,7.84,7.36,-0.3999999999999999,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.805667,114.3173,136.0
122,7.04,7.04,7.36,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.808557,114.31741,146.0
123,6.08,6.72,6.4,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.811393,114.31759,149.0
124,6.08,6.72,6.4,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.814217,114.31792,161.0
125,5.12,5.76,5.76,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.816717,114.3181,163.0
126,5.44,5.12,5.76,0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.81955,114.3183,162.0
127,5.76,6.08,5.76,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.822017,114.318535,170.0
128,7.04,7.36,7.68,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.824783,114.31872,187.0
129,7.36,7.68,7.68,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.82785,114.31892,196.0
130,8.0,8.64,7.84,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.830433,114.3191,207.0
131,8.64,9.28,9.6,-0.3199999999999994,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.833033,114.31928,218.0
132,9.28,9.92,9.28,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.835533,114.319534,221.0
133,9.28,9.6,9.92,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.8385,114.31968,228.0
134,8.0,8.8,8.96,-0.40000000000000036,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.841217,114.31993,232.0
135,8.64,8.96,8.8,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.84405,114.320114,239.0
136,8.32,8.64,8.64,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.846817,114.320366,240.0
137,9.28,9.44,10.24,-0.08000000000000007,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.849667,114.32055,236.0
138,8.96,9.28,9.28,-0.15999999999999925,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.851817,114.32073,247.0
139,9.28,9.76,8.96,-0.2400000000000002,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.8545,114.320984,261.0
140,8.96,9.6,9.92,-0.3199999999999994,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.857117,114.3212,254.0
141,8.32,9.6,9.28,-0.6399999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.859938,114.32136,248.0
142,9.6,9.6,10.56,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.862533,114.32162,245.0
143,9.28,9.92,9.6,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.86535,114.32185,239.0
144,9.28,9.6,9.92,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.868156,114.32197,232.0
145,10.4,9.92,9.6,0.2400000000000002,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.870917,114.32225,229.0
146,9.28,10.88,10.24,-0.8000000000000007,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.873767,114.32243,226.0
147,9.28,10.24,9.76,-0.4800000000000004,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.87663,114.32267,223.0
148,9.120000000000001,10.24,9.44,-0.5599999999999996,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.8788,114.32408,225.0
149,8.96,10.24,9.6,-0.6399999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.881517,114.32587,211.0
150,8.96,10.08,10.24,-0.5599999999999996,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.883433,114.32719,215.0
151,8.96,9.28,9.6,-0.15999999999999925,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.885833,114.328766,208.0
152,8.64,9.28,9.44,-0.3199999999999994,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.888083,114.33035,202.0
153,8.0,8.64,9.6,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.890383,114.33189,193.0
154,8.32,8.8,8.32,-0.2400000000000002,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.89275,114.33345,196.0
155,8.64,8.32,8.64,0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.894933,114.335014,201.0
156,8.32,9.28,8.96,-0.47999999999999954,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.8973,114.33655,189.0
157,8.64,8.96,8.64,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.898433,114.33898,188.0
158,8.64,8.96,9.6,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.899567,114.34161,176.0
159,8.96,9.28,8.96,-0.15999999999999925,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.9006,114.34372,189.0
160,8.64,9.120000000000001,9.28,-0.2400000000000002,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.901583,114.34585,194.0
161,8.0,8.96,7.68,-0.4800000000000004,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.902683,114.34838,181.0
162,8.0,8.96,9.28,-0.4800000000000004,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.9038,114.35097,170.0
163,8.32,8.64,8.16,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.905083,114.35378,153.0
164,8.64,8.64,8.96,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.906167,114.3563,152.0
165,8.32,8.96,8.32,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.907267,114.358734,153.0
166,8.0,9.28,8.0,-0.6399999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.908317,114.36132,144.0
167,8.0,8.48,8.96,-0.2400000000000002,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.9095,114.36377,130.0
168,7.68,8.32,8.32,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.910667,114.3665,126.0
169,7.68,7.68,8.0,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.9118,114.36902,118.0
170,6.72,7.04,7.04,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.913033,114.371666,99.0
171,6.4,6.72,6.72,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.914267,114.3744,103.0
172,6.72,6.5600000000000005,6.72,0.07999999999999963,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.915117,114.3765,96.0
173,7.04,6.72,7.04,0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.916933,114.37728,93.0
174,6.72,7.36,7.36,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.918167,114.37787,88.0
175,7.04,6.72,7.36,0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.921233,114.37922,60.0
176,6.72,7.04,7.36,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.923833,114.38032,37.0
177,8.0,8.0,8.0,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.926267,114.38147,37.0
178,7.36,7.68,8.0,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.929733,114.38227,42.0
179,7.36,7.36,8.0,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.931967,114.38277,47.0
180,7.04,7.68,7.68,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.9343,114.383316,46.0
181,7.04,7.36,7.36,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.936933,114.383934,48.0
182,6.4,6.4,6.88,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.939633,114.38457,49.0
183,6.4,6.72,6.4,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.942333,114.38517,50.0
184,6.24,6.08,6.08,0.08000000000000007,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.944817,114.38575,50.0
185,5.12,5.44,5.12,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.947983,114.3865,50.0
186,6.4,6.08,6.08,0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.9509,114.38717,51.0
187,6.72,7.04,7.04,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.953767,114.38782,51.0
188,6.4,7.04,6.4,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.956583,114.388466,52.0
189,6.72,6.72,7.04,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.95945,114.38917,55.0
190,6.72,6.88,6.08,-0.08000000000000007,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.962567,114.38983,57.0
191,6.24,6.72,6.4,-0.23999999999999977,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.96565,114.39058,57.0
192,7.04,6.88,7.2,0.08000000000000007,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.968533,114.39125,57.0
